"","link","res","res_sq","jack","contribution","LCI","UCI"
"1","auricornis_1-Amoebogregarina_2",0.0451885029777511,0.00204200080137022,0.0646886581760993,-0.000469496037708208,-0.00332906486150167,0.00239007278608526
"2","auricornis_1-Amoebogregarina_5",0.0489248470486307,0.00239364065873191,0.0671489809085337,-0.000948071978841359,-0.00489315381284196,0.00299700985515924
"3","auricornis_1-Amoebogregarina_6",0.0507232802178463,0.00257285115605816,0.0676873570482406,-0.00120308397968249,-0.00525177701095064,0.00284560905158565
"4","auricornis_2-Amoebogregarina_3",0.0378434038883962,0.00143212321786028,0.0462756850555519,-0.000996198632980188,-0.0032134127436164,0.00122101547765603
"5","centurio-Ataeniopoda_MK181531",0.0751668521337468,0.00565005565969656,0.123165764839189,0.00148500310296183,-0.00366477082267739,0.00663477702860105
"6","centurio-Cmexicana_MK181532",0.14076313195431,0.0198142593175865,0.209058456241386,-0.000521379839762762,-0.0118832181084422,0.0108404584289167
"7","eques-Gregarina_2",0.0801143410423582,0.00641830764065129,0.12740080501289,0.000527822484111063,-0.00902424674319013,0.0100798917114123
"8","microptera_1-Boliviana_1",0.0291043503352322,0.00084706320843593,0.0305806935228965,-0.000923820492390694,-0.00239020124566157,0.000542560260880183
"9","microptera_2-Boliviana_3",0.031210037263622,0.000974066425996675,0.0375245847530673,-0.000691840517455558,-0.00202980708154506,0.00064612604663394
"10","microptera_3-Boliviana_1",0.0386342374148653,0.00149260430062818,0.0521484722833547,-0.000514305800559625,-0.00193215878975361,0.000903547188634359
"11","microptera_3-Coronoepimeritus_3",0.1398821018899,0.0195670024291365,0.205684693991222,-0.00125332515581293,-0.0143292739233621,0.0118226236117362
"12","microptera_4-Boliviana_2",0.0318341157699436,0.00101341092685417,0.03987902801151,-0.000629491156899271,-0.00212295236117499,0.000863970047376448
"13","microptera_4-Boliviana_3",0.0328887519398306,0.00108167000415971,0.0392547106520433,-0.000781820455759608,-0.0022278665334255,0.000664225621906287
"14","microptera_4-Boliviana_4",0.0335124722901649,0.00112308579899907,0.0407220319323551,-0.00077407969719499,-0.00233676706965293,0.000788607675262949
"15","microptera_6-Boliviana_3",0.0565489920359318,0.00319778850027988,0.0744232554747011,-0.00121580807520875,-0.00299494012442738,0.000563323974009882
"16","microptera_6-Coronoepimeritus_1",0.121034348138485,0.0146493134293079,0.184943413859567,0.0006028434120265,-0.011587858213368,0.012793545037421
"17","microptera_6-Coronoepimeritus_2",0.138959776122096,0.0193098193799031,0.212268238974533,0.00106098008669477,-0.011925929375696,0.0140478895490856
"18","obscura_1-Ataeniopoda_MK181531",0.0753439144128844,0.00567670543905606,0.116446907863274,0.000204514432665268,-0.0063384310874824,0.00674745995281293
"19","obscura_1-Gregarina_2",0.0721082454197911,0.00519959905752083,0.111849766446529,0.000180133764681791,-0.00656927069771854,0.00692953822708212
"20","obscura_2-Gregarina_2",0.0680040290453304,0.00462454796639813,0.102765712545999,-0.000294284052155413,-0.00673742706428713,0.0061488589599763
"21","picticornis-Amoebogregarina_6",0.0849011351547771,0.00720820275056972,0.141972230138765,0.00229341413190679,-0.00518678338713458,0.00977361165094815
"22","picticornis-Ataeniopoda_MK181531",0.0783780686062114,0.00614312163843999,0.119679254932505,-1.42919579240045e-05,-0.00730174641018849,0.00727316249434048
"23","reticulata-Amoebogregarina_7",0.0505261761171413,0.00255289447302038,0.0649378524566135,-0.0016336152067845,-0.00659090623917763,0.00332367582560862
"24","reticulata-Ataeniopoda_MK181531",0.0715684324233269,0.00512204051953231,0.0972172644575711,-0.00164760517068336,-0.00646787300299509,0.00317266266162836
"25","reticulata-Coronoepimeritus_4",0.140860575763918,0.0198417018045426,0.215386099318552,0.000953116067418252,-0.0147005305449868,0.0166067626798233
"26","reticulata-Coronoepimeritus_5",0.140929945589251,0.0198612495637893,0.216445515952808,0.00128309666526534,-0.0139221892483431,0.0164883825788738
"27","tamaulipensis-Amoebogregarina_1",0.0652790833683415,0.00426135872541088,0.100626051446563,-4.74408127051039e-05,-0.0058200741584538,0.00572519253304359
"28","tamaulipensis-Coronoepimeritus_6",0.14942831657317,0.0223288217938915,0.223835305037005,4.79537715477492e-05,-0.0120642001125302,0.0121601076556257
"29","tamaulipensis-Gregarina_1",0.0825617213707218,0.0068164378356967,0.127873952486417,0.000164963178849264,-0.00886831151749893,0.00919823787519746
"30","varipennis-Amoebogregarina_8",0.0337311410878982,0.00113778987909169,0.0292321181017008,-0.00171533321779785,-0.0040096080859912,0.0005789416503955
"31","Xyleus-Coronoepimeritus_4",0.442888103122042,0.196149871887041,0.705618987936367,0.0205328461113872,-0.281262184275642,0.322327876498416
"32","Xyleus-Coronoepimeritus_6",0.438535647553949,0.192313514175562,0.701141419584548,0.0223078694758989,-0.27416380931956,0.318779548271358
"33","Xyleus-Coronoepimeritus_7",0.438002276903379,0.191845994572545,0.706121886922094,0.0286980188201817,-0.25869623094076,0.316092268581123
