"cost_scheme","pvalue"
"d1_t1_l1",0.055944
"d1_t1_l1",0.004995
"d1_t1_l1",0.031968
"d1_t1_l1",0.081918
"d1_t1_l1",0.111888
"d1_t1_l1",0.145854
"d1_t1_l1",0.026973
"d1_t1_l1",0.068931
"d1_t1_l1",0.026973
"d1_t1_l1",0.042957
"d1_t1_l1",0.031968
"d1_t1_l1",0.061938
"d1_t1_l1",0.080919
"d1_t1_l1",0.093906
"d1_t1_l1",0.047952
"d1_t1_l1",0.066933
"d1_t1_l1",0.068931
"d1_t1_l1",0.036963
"d1_t1_l1",0.054945
"d1_t1_l1",0.155844
"d1_t1_l1",0.285714
"d1_t1_l1",0.008991
"d1_t1_l1",0.028971
"d1_t1_l1",0.028971
"d1_t1_l1",0.104895
"d1_t1_l1",0.118881
"d1_t1_l1",0.046953
"d1_t1_l1",0.277722
"d1_t1_l1",0.12987
"d1_t1_l1",0.116883
"d1_t1_l1",0.084915
"d1_t1_l1",0.080919
"d1_t1_l1",0.114885
"d1_t1_l1",0.121878
"d1_t1_l1",0.03996
"d1_t1_l1",0.065934
"d1_t1_l1",0.10989
"d1_t1_l1",0.013986
"d1_t1_l1",0.082917
"d1_t1_l1",0.090909
"d1_t1_l1",0.238761
"d1_t1_l1",0.194805
"d1_t1_l1",0.034965
"d1_t1_l1",0.314685
"d1_t1_l1",0.085914
"d1_t1_l1",0.068931
"d1_t1_l1",0.070929
"d1_t1_l1",0.048951
"d1_t1_l1",0.237762
"d1_t1_l1",0.018981
"d1_t8_l1",0.317682
"d1_t8_l1",0.087912
"d1_t8_l1",0.015984
"d1_t8_l1",0.007992
"d1_t8_l1",0.015984
"d1_t8_l1",0.037962
"d1_t8_l1",0.000999
"d1_t8_l1",0.340659
"d1_t8_l1",0.008991
"d1_t8_l1",0.000999
"d1_t8_l1",0.013986
"d1_t8_l1",0.023976
"d1_t8_l1",0.154845
"d1_t8_l1",0.011988
"d1_t8_l1",0.003996
"d1_t8_l1",0.027972
"d1_t8_l1",0.11988
"d1_t8_l1",0.034965
"d1_t8_l1",0.106893
"d1_t8_l1",0.003996
"d1_t8_l1",0.010989
"d1_t8_l1",0.073926
"d1_t8_l1",0.127872
"d1_t8_l1",0.00999
"d1_t8_l1",0.037962
"d1_t8_l1",0.003996
"d1_t8_l1",0.14985
"d1_t8_l1",0.156843
"d1_t8_l1",0.014985
"d1_t8_l1",0.023976
"d1_t8_l1",0.006993
"d1_t8_l1",0.020979
"d1_t8_l1",0.013986
"d1_t8_l1",0.013986
"d1_t8_l1",0.000999
"d1_t8_l1",0.084915
"d1_t8_l1",0.005994
"d1_t8_l1",0.020979
"d1_t8_l1",0.037962
"d1_t8_l1",0.011988
"d1_t8_l1",0.14985
"d1_t8_l1",0.011988
"d1_t8_l1",0.001998
"d1_t8_l1",0.027972
"d1_t8_l1",0.067932
"d1_t8_l1",0.01998
"d1_t8_l1",0.035964
"d1_t8_l1",0.001998
"d1_t8_l1",0.144855
"d1_t8_l1",0.005994
"d2_t1_l2",0.037962
"d2_t1_l2",0.007992
"d2_t1_l2",0.025974
"d2_t1_l2",0.53047
"d2_t1_l2",0.314685
"d2_t1_l2",0.341658
"d2_t1_l2",0.393606
"d2_t1_l2",0.034965
"d2_t1_l2",0.121878
"d2_t1_l2",0.408591
"d2_t1_l2",0.027972
"d2_t1_l2",0.227772
"d2_t1_l2",0.090909
"d2_t1_l2",0.260739
"d2_t1_l2",0.156843
"d2_t1_l2",0.252747
"d2_t1_l2",0.044955
"d2_t1_l2",0.022977
"d2_t1_l2",0.04995
"d2_t1_l2",0.652348
"d2_t1_l2",0.4995
"d2_t1_l2",0.008991
"d2_t1_l2",0.018981
"d2_t1_l2",0.028971
"d2_t1_l2",0.270729
"d2_t1_l2",0.271728
"d2_t1_l2",0.031968
"d2_t1_l2",0.462537
"d2_t1_l2",0.331668
"d2_t1_l2",0.264735
"d2_t1_l2",0.270729
"d2_t1_l2",0.261738
"d2_t1_l2",0.314685
"d2_t1_l2",0.274725
"d2_t1_l2",0.112887
"d2_t1_l2",0.043956
"d2_t1_l2",0.586414
"d2_t1_l2",0.073926
"d2_t1_l2",0.251748
"d2_t1_l2",0.246753
"d2_t1_l2",0.181818
"d2_t1_l2",0.36963
"d2_t1_l2",0.387612
"d2_t1_l2",0.509491
"d2_t1_l2",0.058941
"d2_t1_l2",0.236763
"d2_t1_l2",0.247752
"d2_t1_l2",0.415584
"d2_t1_l2",0.160839
"d2_t1_l2",0.08991
"d2_t4_l1",0.131868
"d2_t4_l1",0.015984
"d2_t4_l1",0.017982
"d2_t4_l1",0.022977
"d2_t4_l1",0.017982
"d2_t4_l1",0.125874
"d2_t4_l1",0.000999
"d2_t4_l1",0.14985
"d2_t4_l1",0.003996
"d2_t4_l1",0.002997
"d2_t4_l1",0.013986
"d2_t4_l1",0.063936
"d2_t4_l1",0.253746
"d2_t4_l1",0.011988
"d2_t4_l1",0.007992
"d2_t4_l1",0.081918
"d2_t4_l1",0.142857
"d2_t4_l1",0.036963
"d2_t4_l1",0.013986
"d2_t4_l1",0.005994
"d2_t4_l1",0.122877
"d2_t4_l1",0.023976
"d2_t4_l1",0.024975
"d2_t4_l1",0.008991
"d2_t4_l1",0.070929
"d2_t4_l1",0.026973
"d2_t4_l1",0.211788
"d2_t4_l1",0.103896
"d2_t4_l1",0.031968
"d2_t4_l1",0.090909
"d2_t4_l1",0.016983
"d2_t4_l1",0.048951
"d2_t4_l1",0.00999
"d2_t4_l1",0.033966
"d2_t4_l1",0.000999
"d2_t4_l1",0.074925
"d2_t4_l1",0.006993
"d2_t4_l1",0.016983
"d2_t4_l1",0.021978
"d2_t4_l1",0.020979
"d2_t4_l1",0.354645
"d2_t4_l1",0.03996
"d2_t4_l1",0.003996
"d2_t4_l1",0.032967
"d2_t4_l1",0.046953
"d2_t4_l1",0.068931
"d2_t4_l1",0.031968
"d2_t4_l1",0.002997
"d2_t4_l1",0.327672
"d2_t4_l1",0.015984
"d4_t1_l1",0.045954
"d4_t1_l1",0.00999
"d4_t1_l1",0.028971
"d4_t1_l1",0.874126
"d4_t1_l1",0.611389
"d4_t1_l1",0.63037
"d4_t1_l1",0.854146
"d4_t1_l1",0.035964
"d4_t1_l1",0.562438
"d4_t1_l1",0.862138
"d4_t1_l1",0.025974
"d4_t1_l1",0.587413
"d4_t1_l1",0.070929
"d4_t1_l1",0.624376
"d4_t1_l1",0.576424
"d4_t1_l1",0.632368
"d4_t1_l1",0.036963
"d4_t1_l1",0.028971
"d4_t1_l1",0.04995
"d4_t1_l1",0.875125
"d4_t1_l1",0.656344
"d4_t1_l1",0.007992
"d4_t1_l1",0.016983
"d4_t1_l1",0.017982
"d4_t1_l1",0.602398
"d4_t1_l1",0.57043
"d4_t1_l1",0.034965
"d4_t1_l1",0.681319
"d4_t1_l1",0.647353
"d4_t1_l1",0.615385
"d4_t1_l1",0.609391
"d4_t1_l1",0.602398
"d4_t1_l1",0.661339
"d4_t1_l1",0.617383
"d4_t1_l1",0.546454
"d4_t1_l1",0.062937
"d4_t1_l1",0.885115
"d4_t1_l1",0.461538
"d4_t1_l1",0.622378
"d4_t1_l1",0.599401
"d4_t1_l1",0.160839
"d4_t1_l1",0.641359
"d4_t1_l1",0.82018
"d4_t1_l1",0.652348
"d4_t1_l1",0.043956
"d4_t1_l1",0.58042
"d4_t1_l1",0.628372
"d4_t1_l1",0.875125
"d4_t1_l1",0.14985
"d4_t1_l1",0.4995
