"","Ataeniopoda_MK181531","Amoebogregarina_7","Amoebogregarina_8","Amoebogregarina_3","Amoebogregarina_1","Amoebogregarina_6","Amoebogregarina_5","Amoebogregarina_2","Boliviana_3","Boliviana_1","Boliviana_4","Boliviana_2","Coronoepimeritus_3","Coronoepimeritus_2","Coronoepimeritus_4","Coronoepimeritus_5","Coronoepimeritus_1","Coronoepimeritus_6","Coronoepimeritus_7","Gregarina_2","Gregarina_1","Cmexicana_MK181532"
"microptera_3",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"microptera_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"microptera_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"microptera_4",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"microptera_6",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"auricornis_1",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"auricornis_2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"centurio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"eques",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obscura_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obscura_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"picticornis",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"reticulata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"tamaulipensis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"varipennis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xyleus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
