"","host_species","TAMUIC_IC_CODE","infected","Provincias","Region","Subregion","Dominio","geometry"
"1","Taeniopoda centurio","TAMUIC-IGC-004549","y","Veracruzan province","Neotropical","Brazilian","Mesoamerican",c(-98.41156, 21.07499)
"2","Taeniopoda varipennis","TAMUIC-IGC-004545","y","Puntarenas-Chiriqui province","Neotropical","Brazilian","Pacific",c(-84.157767, 9.408754)
"3","Taeniopoda reticulata","TAMUIC-IGC-004547","y","Guatuso-Talamanca province","Neotropical","Brazilian","Pacific",c(-84.0095, 10.437533)
"4","Taeniopoda obscura","TAMUIC-IGC-004538","y","Yucatan Peninsula Province","Neotropical","Brazilian","Mesoamerican",c(-87.65544, 21.513182)
"5","Taeniopoda obscura","TAMUIC-IGC-004539","y","Yucatan Peninsula Province","Neotropical","Brazilian","Mesoamerican",c(-88.434586, 21.398019)
"6","Taeniopoda auricornis","TAMUIC-IGC-004540","y","Transmexican Volcanic Belt province","Neotropical","Mexican Transition Zone",NA,c(-96.762519, 19.706789)
"7","Taeniopoda auricornis","TAMUIC-IGC-004541","y","Transmexican Volcanic Belt province","Neotropical","Mexican Transition Zone",NA,c(-96.886819, 19.517877)
"8","Taeniopoda picticornis","TAMUIC-IGC-004543","y","Sierra Madre del Sur province","Neotropical","Mexican Transition Zone",NA,c(-97.182884, 18.79545)
"9","Xyleus aff. discoideus mexicanus","TAMUIC-IGC-004568","y","Pacific Lowlands province","Neotropical","Brazilian","Mesoamerican",c(-101.78867, 17.925222)
"10","Taeniopoda tamaulipensis","TAMUIC-IGC-004548","n","Sierra Madre Oriental province","Neotropical","Mexican Transition Zone",NA,c(-98.74942, 20.54892)
"11","Taeniopoda varipennis","TAMUIC-IGC-004546","n","Pacific Lowlands province","Neotropical","Brazilian","Mesoamerican",c(-85.69669, 10.552457)
"12","Xyleus aff. discoideus mexicanus","TAMUIC-IGC-004556","n","Yucatan Peninsula Province","Neotropical","Brazilian","Mesoamerican",c(-88.3921, 21.3971)
"13","Taeniopoda picticornis","TAMUIC-IGC-004543","n","Sierra Madre del Sur province","Neotropical","Mexican Transition Zone",NA,c(-97.182884, 18.79545)
"14","Taeniopoda tamaulipensis","TAMUIC-IGC-004560","n","Sierra Madre Oriental province","Neotropical","Mexican Transition Zone",NA,c(-99.229958, 23.605909)
"15","Chromacris sp.","TAMUIC-IGC-004562","n","Balsas Basin province","Neotropical","Brazilian","Mesoamerican",c(-102.27377, 18.30755)
"16","Taeniopoda aff. auricornis","TAMUIC-IGC-004558","n","Sierra Madre del Sur province","Neotropical","Mexican Transition Zone",NA,c(-96.184983, 17.444867)
"17","Chromacris sp.","TAMUIC-IGC-004559","n","Guatuso-Talamanca province","Neotropical","Brazilian","Pacific",c(-83.2111, 9.8391)
"18","Taeniopoda picticornis","TAMUIC-IGC-004561","n","Transmexican Volcanic Belt province","Neotropical","Mexican Transition Zone",NA,c(-104.474506, 21.020086)
"19","Taeniopoda picticornis","TAMUIC-IGC-004564","n","Pacific Lowlands province","Neotropical","Brazilian","Mesoamerican",c(-101.72701, 17.85981)
"20","Taeniopoda picticornis","TAMUIC-IGC-004566","n","Pacific Lowlands province","Neotropical","Brazilian","Mesoamerican",c(-102.32162, 18.06561)
"21","Taeniopoda picticornis","TAMUIC-IGC-004567","n","Pacific Lowlands province","Neotropical","Brazilian","Mesoamerican",c(-102.53857, 18.03811)
"22","Romalea microptera","TAMUIC-IGC-004570","y","Austroriparian","Nearctic","Alleghany",NA,c(-95.781282, 30.53682)
"23","Romalea microptera","TAMUIC-IGC-004553","y","Austroriparian","Nearctic","Alleghany",NA,c(-81.23013, 25.877455)
"24","Romalea microptera","TAMUIC-IGC-004551","y","Austroriparian","Nearctic","Alleghany",NA,c(-87.919589, 30.628351)
"25","Romalea microptera","TAMUIC-IGC-004555","y","Austroriparian","Nearctic","Alleghany",NA,c(-88.789983, 30.397594)
"26","Taeniopoda eques","TAMUIC-IGC-004544","y","Chihuahuan","Nearctic","Western","Rocky Mountain",c(-99.64733, 20.386229)
"27","Taeniopoda tamaulipensis","TAMUIC-IGC-004548","y","Tamaulipas","Nearctic","Alleghany",NA,c(-99.19974, 23.800105)
"28","Romalea microptera","TAMUIC-IGC-004552","n","Austroriparian","Nearctic","Alleghany",NA,c(-90.987638, 30.348023)
"29","Romalea microptera","TAMUIC-IGC-004550","n","Austroriparian","Nearctic","Alleghany",NA,c(-81.55249, 27.471685)
"30","Romalea microptera","TAMUIC-IGC-004554","n","Austroriparian","Nearctic","Alleghany",NA,c(-84.142822, 30.127161)
"31","Taeniopoda eques","TAMUIC-IGC-004544","n","Chihuahuan","Nearctic","Western","Rocky Mountain",c(-99.64733, 20.386229)
"32","Taeniopoda eques","TAMUIC-IGC-004542","n","Chihuahuan","Nearctic","Western","Rocky Mountain",c(-99.64733, 20.386229)
"33","Brachystola aff. magna","TAMUIC-IGC-004557","n","Chihuahuan","Nearctic","Western","Rocky Mountain",c(-99.871774, 20.515134)
"34","Taeniopoda eques","TAMUIC-IGC-004563","n","Chihuahuan","Nearctic","Western","Rocky Mountain",c(-100.4731974, 22.913136)
"35","Taeniopoda eques","TAMUIC-IGC-004569","n","Chihuahuan","Nearctic","Western","Rocky Mountain",c(-100.355196, 20.533816)
